Name,Location,Description,record,expression,labels,alert,enabled,severity,for,actions,resolveConfiguration,annotations,translation
CBSRuleGroup,eastus,CBS Alerts,,increase(cbs_sde_msg_publish_failure_error_gauge[60m]) > 100,"{'metric': 'cbs_sde_msg_publish_failure_error_gauge', 'service': 'cbs', 'pod': 'cbs'}",CBSSdeMsgFailureError,True,2.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert CBSSdeMsgFailureError has fired on #$.labels.cluster#', 'IcM.Description': 'Alert on CBS external msg publish failures #$.labels.error# - region #$.labels.cluster# | node #$.labels.node# | pod #$.labels.pod#', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/cbs-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'CBSSdeMsgFailureError', 'description': 'Number of times error occurred while publishing a msg to rabbitmq by metrics pod to SDE queue for a particular operation', 'summary': 'Alert on CBS external msg publish failures', 'dashboard': 'https://anftelemetry-asapfja3btgvhhff.scus.grafana.azure.com/d/upKMXl34k/cloud-backup-service'}",The number of times the message publishing failure error occurred has increased by more than 100 instances over the last 60 minutes.
CBSRuleGroup,eastus,CBS Alerts,,increase(cbs_hyperscaler_connectivity_error_gauge[24h]) > 5,"{'metric': 'cbs_hyperscaler_connectivity_error_gauge', 'service': 'cbs', 'pod': 'cbs'}",CBSHypercalerError,False,2.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert CBSHypercalerError has fired on #$.labels.cluster#', 'IcM.Description': 'Hyperscaler connectivity error Alert #$.labels.error# -  region #$.labels.cluster# | node #$.labels.node# | pod #$.labels.pod#', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/cbs-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'CBSHypercalerError', 'description': 'User operations might fail.This may be a config issue, please investigate', 'summary': 'Hyperscaler connectivity error Alert', 'dashboard': 'https://anftelemetry-asapfja3btgvhhff.scus.grafana.azure.com/d/upKMXl34k/cloud-backup-service'}",There has been an increase of more than 5 hyperscaler connectivity errors in the last 24 hours.
CBSRuleGroup,eastus,CBS Alerts,,increase(cbs_gs_connectivity_error_gauge[24h]) > 50,"{'metric': 'cbs_gs_connectivity_error_gauge', 'service': 'cbs', 'pod': 'cbs'}",CBSGsError,True,2.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert CBSGsError has fired on #$.labels.cluster#', 'IcM.Description': 'Connectivity Issues with global scheduler #$.labels.error# region #$.labels.cluster# | node #$.labels.node# | pod #$.labels.pod#', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/cbs-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'CBSGsError', 'description': 'Connectivity Issues with global scheduler, please investigate', 'summary': 'Alert on GS connectivity issues', 'dashboard': 'https://anftelemetry-asapfja3btgvhhff.scus.grafana.azure.com/d/upKMXl34k/cloud-backup-service'}",The number of times the connectivity error occurred has increased by more than 50 instances over the last 24 hours.
CBSRuleGroup,eastus,CBS Alerts,,increase(cbs_adc_connectivity_error_gauge[60m]) > 20,"{'metric': 'cbs_adc_connectivity_error_gauge', 'service': 'cbs', 'pod': 'cbs'}",CBSAdcError,True,2.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert CBSAdcError has fired on #$.labels.cluster#', 'IcM.Description': 'ADC calls are failing with request timeout, connectivity failed #$.labels.error# - region #$.labels.cluster# | node #$.labels.node# | pod #$.labels.pod#', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/cbs-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'CBSAdcError', 'description': 'ADC calls are failing with request timeout, connectivity failed, please investigate', 'summary': 'Alert on ADC connectivity issues', 'dashboard': 'https://anftelemetry-asapfja3btgvhhff.scus.grafana.azure.com/d/upKMXl34k/cloud-backup-service'}",The number of times the ADC connectivity error occurred has increased by more than 20 instances over the last 60 minutes.
CBSRuleGroup,eastus,CBS Alerts,,increase(cbs_cvi_connectivity_error_gauge[60m]) > 50,"{'metric': 'cbs_cvi_connectivity_error_gauge', 'service': 'cbs', 'pod': 'cbs'}",CBSCviError,True,2.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert CBSCviError has fired on #$.labels.cluster#', 'IcM.Description': 'CVI calls may fail with request timeout, connectivity failed, too many requests failure #$.labels.error# region #$.labels.cluster# | node #$.labels.node# | pod #$.labels.pod#', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/cbs-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'CBSCviError', 'description': 'CVI calls may fail with request timeout, connectivity failed, too many requests failure, please investigate', 'summary': 'Alert on CVI connectivity issues', 'dashboard': 'https://anftelemetry-asapfja3btgvhhff.scus.grafana.azure.com/d/upKMXl34k/cloud-backup-service'}",The number of new connectivity errors in the last 60 minutes has increased by more than 50.
CBSRuleGroup,eastus,CBS Alerts,,increase(cbs_postgres_db_connection_error[60m]) > 50,"{'metric': 'cbs_postgres_db_connection_error', 'service': 'cbs', 'pod': 'cbs'}",CBSPostgresError,True,2.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert CBSPostgresError has fired on #$.labels.cluster#', 'IcM.Description': 'Connectivity Issue with Postgres #$.labels.error# - region #$.labels.cluster# | node #$.labels.node# | pod #$.labels.pod#', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/cbs-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'CBSPostgresError', 'description': 'Connectivity Issue with Postgres, please investigate', 'summary': 'Alert on Postgres connectivity issues', 'dashboard': 'https://anftelemetry-asapfja3btgvhhff.scus.grafana.azure.com/d/upKMXl34k/cloud-backup-service'}",There has been an increase of more than 50 PostgreSQL database connection errors in the last 60 minutes.
CBSRuleGroup,eastus,CBS Alerts,,increase(cbs_blob_store_connectivity_error_gauge[24h]) > 100,"{'metric': 'cbs_blob_store_connectivity_error_gauge', 'service': 'cbs', 'pod': 'cbs'}",CBSBlobStoreError,True,2.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert CBSBlobStoreError has fired on #$.labels.cluster#', 'IcM.Description': 'Worker fails to connect to blob store, backup creation is failing.Metrics are not able to connect to blob store, it might lead to loss of billing #$.labels.error# region #$.labels.cluster# | node #$.labels.node# | pod #$.labels.pod#', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/cbs-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'CBSBlobStoreError', 'description': 'Worker fails to connect to blob store, backup creation is failing.Metrics are not able to connect to blob store, it might lead to loss of billing, please investigate', 'summary': 'Alerts on blob store failure', 'dashboard': 'https://anftelemetry-asapfja3btgvhhff.scus.grafana.azure.com/d/upKMXl34k/cloud-backup-service'}",There has been an increase of more than 100 connectivity errors to the CBS blob store in the last 24 hours.
CBSRuleGroup,eastus,CBS Alerts,,increase(cbs_internal_msg_publish_failure_error_gauge[24h]) > 50,"{'metric': 'cbs_internal_msg_publish_failure_error_gauge', 'service': 'cbs', 'pod': 'cbs'}",CBSInternalMsgPublishError,True,2.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert CBSInternalMsgPublishError has fired on #$.labels.cluster#', 'IcM.Description': 'CBS is publishing error msgs for each backup request/policy assignment/restore/delete backup etc #$.labels.error# - region #$.labels.cluster# | node #$.labels.node# | pod #$.labels.pod#', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/cbs-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'CBSInternalMsgPublishError', 'description': 'CBS is publishing error msgs for each backup request/policy assignment/restore/delete backup etc, please investigate', 'summary': 'Alert on CBS internal msg publish failures', 'dashboard': 'https://anftelemetry-asapfja3btgvhhff.scus.grafana.azure.com/d/upKMXl34k/cloud-backup-service'}",The number of times internal message publishing failed due to errors has increased by more than 50 instances over the last 24 hours.
CBSRuleGroup,eastus,CBS Alerts,,increase(cbs_get_secret_from_keyvault_error_gauge[5m]) > 0,"{'metric': 'cbs_get_secret_from_keyvault_error_gauge', 'service': 'cbs', 'pod': 'cbs'}",CBSGetSecretFromKvError,True,2.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert CBSGetSecretFromKvError has fired on #$.labels.cluster#', 'IcM.Description': 'CBS encountered authentication issues while fetching secrets from Key Vault #$.labels.error# - region #$.labels.cluster# | node #$.labels.node# | pod #$.labels.pod#', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/cbs-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'CBSOntapKeyRotationErrorCritical', 'description': 'CBS encountered authentication issues while fetching secrets from Key Vault, please investigate', 'summary': 'CBS encountered authentication issues while fetching secrets from Key Vault', 'dashboard': 'https://anftelemetry-asapfja3btgvhhff.scus.grafana.azure.com/d/upKMXl34k/cloud-backup-service'}",There has been an increase in the number of errors when trying to retrieve a secret from Key Vault within the last 5 minutes.
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_reader_worker_file_parsing_failure[5m]) > 0,"{'metric': 'fal_s3_reader_worker_file_parsing_failure', 'service': 'fal', 'pod': 'fal'}",FalS3ParsingFailure,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3ParsingFailure has fired on #$.labels.region#', 'IcM.Description': 'Connection failure between S3 reader pod and azure service bus', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3ParsingFailure', 'description': 'Connection failure between S3 reader pod and azure service bus', 'summary': 'Connection failure between S3 reader pod and azure service bus'}",There has been an increase in file parsing failures by the S3 reader worker within the last 5 minutes.
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_secret_or_certificate_failure_count[5m]) > 2,"{'metric': 'fal_s3_secret_or_certificate_failure_count', 'service': 'fal', 'pod': 'fal'}",FalS3CertFailure,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3CertFailure has fired on #$.labels.region#', 'IcM.Description': 'Failure has occurred in secret or certificate', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3CertFailure', 'description': 'Failure has occurred in secret or certificate', 'summary': 'Failure has occurred in secret or certificate'}",There has been an increase of more than 2 failures in fetching S3 secrets or certificates in the last 5 minutes.
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_k8s_api_failure_count[5m]) > 3,"{'metric': 'fal_s3_k8s_api_failure_count', 'service': 'fal', 'pod': 'fal'}",FalS3ApiFailure,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3ApiFailure has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered when attempting a K8s API Failure', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3ApiFailure', 'description': 'Failure encountered when attempting a K8s API Failure', 'summary': 'Failure encountered when attempting a K8s API Failure'}",The number of Kubernetes API failures in the last 5 minutes has increased by more than 3.
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_set_key_on_redis_error[5m]) > 4,"{'metric': 'fal_s3_set_key_on_redis_error', 'service': 'fal', 'pod': 'fal'}",FalS3SetKeyRedisError,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3SetKeyRedisError has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered while setting key on redis', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3SetKeyRedisError', 'description': 'Failure encountered while setting key on redis', 'summary': 'Failure encountered while setting key on redis'}",The number of times the S3 set key operation failed and was retried on Redis within the last 5 minutes has increased by more than 4 occurrences.
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_get_value_from_redis_error[5m]) > 0,"{'metric': 'fal_s3_get_value_from_redis_error', 'service': 'fal', 'pod': 'fal'}",FalS3GetValueFromRedisError,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3GetValueFromRedisError has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered while getting value from redis', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3GetValueFromRedisError', 'description': 'Failure encountered while getting value from redis', 'summary': 'Failure encountered while getting value from redis'}",There has been an increase in the number of times the S3 get value from Redis operation failed in the last 5 minutes.
FalRuleGroup,eastus,FAL Alerts,,"increase(fal_s3_set_key_on_redis_error{operationName=""s3_reader_supervisor_set_key_on_redis_while_publish_event_to_asb_error""}[5m]) > 0","{'metric': 's3_reader_supervisor_set_key_on_redis_while_publish_event_to_asb_error', 'service': 'fal', 'pod': 'fal'}",FalS3SetKeyRedisPubAsbError,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3SetKeyRedisPubAsbError has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered while setting supervisor key on redis while publishing event to ASB', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3SetKeyRedisPubAsbError', 'description': 'Failure encountered while setting supervisor key on redis while publishing event to ASB', 'summary': 'Failure encountered while setting supervisor key on redis while publishing event to ASB'}",There has been an increase in the number of times the S3 reader supervisor failed to set a key on Redis while publishing an event to ASB in the last 5 minutes.
FalRuleGroup,eastus,FAL Alerts,,"increase(fal_s3_set_key_on_redis_error{operationName=""s3_reader_supervisor_set_key_on_redis_for_volume_details""}[5m]) > 0","{'metric': 'fal_s3_set_key_on_redis_error', 'service': 'fal', 'pod': 'fal'}",FalS3SetKeyRedisVolumeError,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3SetKeyRedisVolumeError has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered while setting supervisor key on redis for volume details', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3SetKeyRedisVolumeError', 'description': 'Failure encountered while setting supervisor key on redis for volume details', 'summary': 'Failure encountered while setting supervisor key on redis for volume details'}","There has been an increase in the number of times the ""s3_reader_supervisor_set_key_on_redis_for_volume_details"" operation encountered a Redis error and set a key, within the last 5 minutes."
FalRuleGroup,eastus,FAL Alerts,,"increase(fal_s3_set_key_on_redis_error{operationName=""s3_reader_worker_set_key_redis_failure_while_updating_processed_key_count""}[5m]) > 100","{'metric': 'fal_s3_set_key_on_redis_error', 'service': 'fal', 'pod': 'fal'}",FalS3SetKeyRedisUpdateCountFailure,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3SetKeyRedisUpdateCountFailure has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered while setting worker key on redis while updating processed key count', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3SetKeyRedisUpdateCountFailure', 'description': 'Failure encountered while setting worker key on redis while updating processed key count', 'summary': 'Failure encountered while setting worker key on redis while updating processed key count'}",There has been an increase of more than 100 occurrences in the last 5 minutes where the s3 reader worker failed to update the processed key count in Redis.
FalRuleGroup,eastus,FAL Alerts,,"increase(fal_s3_set_key_on_redis_error{operationName=""s3_reader_worker_set_key_redis_failure_index""}[5m]) > 7","{'metric': 'fal_s3_set_key_on_redis_error', 'service': 'fal', 'pod': 'fal'}",FalS3SetKeyRedisIndexFailure,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3SetKeyRedisIndexFailure has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered while setting worker key on redis index', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3SetKeyRedisIndexFailure', 'description': 'Failure encountered while setting worker key on redis index', 'summary': 'Failure encountered while setting worker key on redis index'}","There has been an increase of more than 7 occurrences in the last 5 minutes of errors when trying to set a key on Redis from the S3 reader worker, specifically for the operation of setting a key for a Redis failure index."
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_fetch_s3_details_from_cvi_error[5m]) > 0,"{'metric': 'fal_s3_fetch_s3_details_from_cvi_error', 'service': 'fal', 'pod': 'fal'}",FalS3FetchDetailsCvi,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3FetchDetailsCvi has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered during fetching S3 details from CVI from supervisor', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3FetchDetailsCvi', 'description': 'Failure encountered during fetching S3 details from CVI from supervisor', 'summary': 'Failure encountered during fetching S3 details from CVI from supervisor'}",There has been an increase in errors when fetching S3 details from CVI in the last 5 minutes.
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_volume_refresh_job_failure_count[10m]) > 0,"{'metric': 'fal_s3_volume_refresh_job_failure_count', 'service': 'fal', 'pod': 'fal'}",FalS3ApiVolRefreshFailure,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3ApiVolRefreshFailure has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered when attempting a volume refresh job', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3ApiVolRefreshFailure', 'description': 'Failure encountered when attempting a volume refresh job', 'summary': 'Failure encountered when attempting a volume refresh job'}",There has been an increase in the number of times the S3 volume refresh job has failed in the last 10 minutes.
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_host_to_bucket_uri_failure_count[5m]) > 0,"{'metric': 'fal_s3_host_to_bucket_uri_failure_count', 'service': 'fal', 'pod': 'fal'}",FalS3HostBucketFailure,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3HostBucketFailure has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered while mapping uri from host to bucket', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3HostBucketFailure', 'description': 'Failure encountered while mapping uri from host to bucket', 'summary': 'Failure encountered while mapping uri from host to bucket'}",There has been an increase in the number of failures for S3 host to bucket URI requests over the last 5 minutes.
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_fetch_file_list_from_s3_failure_count[5m]) > 3,"{'metric': 'fal_s3_fetch_file_list_from_s3_failure_count', 'service': 'fal', 'pod': 'fal'}",FalS3FetchFileList,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3FetchFileList has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered while fetch file list from S3', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3FetchFileList', 'description': 'Failure encountered while fetch file list from S3', 'summary': 'Failure encountered while fetch file list from S3'}",There has been more than 3 increase in failures to fetch file lists from S3 in the last 5 minutes.
FalRuleGroup,eastus,FAL Alerts,,increase(fal_s3_fetch_file_content_from_s3_failure_count[5m]) > 3,"{'metric': 'fal_s3_fetch_file_content_from_s3_failure_count', 'service': 'fal', 'pod': 'fal'}",FalS3FetchFileContent,True,3.0,,"[{'actionGroupId': '/subscriptions/19998cf7-a1b7-4c69-8daf-1f026e397d66/resourcegroups/anf.automation-stage.rg/providers/microsoft.insights/actionGroups/Azure-Monitor-IcM-Stage', 'actionProperties': {'IcM.Title': 'Azure Monitor Alert FalS3FetchFileContent has fired on #$.labels.region#', 'IcM.Description': 'Failure encountered while fetch file content from S3', 'IcM.TsgId': 'https://eng.ms/docs/cloud-ai-platform/azure-core/azure-storage/azure-storage-dev-mansah/azure-netapp-files/azure-netapp-files/runbooks/fal-s3-prometheus-alerts'}}]","{'autoResolved': True, 'timeToResolve': 'PT10M'}","{'title': 'FalS3FetchFileContent', 'description': 'Failure encountered while fetch file content from S3', 'summary': 'Failure encountered while fetch file content from S3'}",There have been more than 3 increases in failures to fetch file content from S3 in the last 5 minutes.
